offline_datapoint_24 1619213685 11475,964
offline_datapoint_7 1619213687 390955008,000
offline_datapoint_17 1619213685 2,334
offline_datapoint_6 1619213687 5789040640,000
offline_datapoint_23 1619213687 7392415744,000
offline_datapoint_22 1619213685 0,130
offline_datapoint_28 1619213685 28,889
offline_datapoint_10 1619213685 16,671
offline_datapoint_29 1619213685 6042,701
offline_datapoint_4 1619213687 0,000
offline_datapoint_16 1619213685 8865,184
offline_datapoint_2 1619213685 11717,339
offline_datapoint_14 1619213685 0,539
offline_datapoint_3 1619213685 11,335
offline_datapoint_26 1619213685 91,837
offline_datapoint_15 1619213685 1,334
offline_datapoint_8 1619213685 44092,235
offline_datapoint_20 1619213685 0,005
offline_datapoint_27 1619213690 682278,000
offline_datapoint_21 1619213690 3269,000
offline_datapoint_12 1619213690 585355264,000
offline_datapoint_0 1619213690 360087552,000
offline_datapoint_19 1619213690 8341884928,000
offline_datapoint_25 1619213690 391262208,000
offline_datapoint_11 1619213690 2806,000
offline_datapoint_5 1619213688 1,000
offline_datapoint_24 1619213688 5781,764
offline_datapoint_7 1619213690 391262208,000
offline_datapoint_17 1619213688 1,000
offline_datapoint_6 1619213690 5804998656,000
offline_datapoint_23 1619213690 7399284736,000
offline_datapoint_22 1619213688 0,130
offline_datapoint_28 1619213688 12,391
offline_datapoint_10 1619213688 6,248
offline_datapoint_29 1619213688 5237,515
offline_datapoint_4 1619213690 0,000
offline_datapoint_16 1619213688 8439,349
offline_datapoint_2 1619213688 892,861
offline_datapoint_14 1619213688 8,807
offline_datapoint_3 1619213688 17,997
offline_datapoint_26 1619213688 87,536
offline_datapoint_15 1619213688 4,666
offline_datapoint_8 1619213688 19493,926
offline_datapoint_20 1619213688 0,088
offline_datapoint_27 1619213693 682278,000
offline_datapoint_21 1619213693 3266,000
offline_datapoint_12 1619213693 585355264,000
offline_datapoint_0 1619213693 360087552,000
offline_datapoint_19 1619213693 8341708800,000
offline_datapoint_25 1619213693 391634944,000
offline_datapoint_11 1619213693 2807,000
offline_datapoint_5 1619213691 0,000
offline_datapoint_24 1619213691 138,989
offline_datapoint_7 1619213693 391634944,000
offline_datapoint_17 1619213691 0,000
offline_datapoint_6 1619213693 5804986368,000
offline_datapoint_23 1619213693 7395053568,000
offline_datapoint_22 1619213691 0,130
offline_datapoint_28 1619213691 8,725
offline_datapoint_10 1619213691 2,083
offline_datapoint_29 1619213691 4386,332
offline_datapoint_4 1619213693 0,000
offline_datapoint_16 1619213691 7129,456
offline_datapoint_2 1619213691 330,308
offline_datapoint_14 1619213691 0,531
offline_datapoint_3 1619213691 10,666
offline_datapoint_26 1619213691 91,828
offline_datapoint_15 1619213691 0,000
offline_datapoint_8 1619213691 9216,000
offline_datapoint_20 1619213691 0,005
offline_datapoint_27 1619213696 682278,000
offline_datapoint_21 1619213696 3265,000
offline_datapoint_12 1619213696 585355264,000
